Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,HIV deaths,,HIV diagnoses,,HIV prevalence,
,,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000,Cases,Rate per 100000
"2010","Nebraska","83","5.6","25","1.7","923","61.8","30","2.0","116","7.8","1,731","115.9"
"2010","Nevada","222","10.0","100","4.5","3,489","156.9","124","5.6","371","16.7","6,648","299.0"
"2010","New Hampshire","30","2.7","19","1.7","604","53.9","19","1.7","50","4.5","1,082","96.6"
"2010","New Jersey","932","12.7","646","8.8","17,817","242.6","795","10.8","1,352","18.4","32,630","444.2"
"2010","New Mexico","100","5.9","48","2.8","1,759","104.1","63","3.7","148","8.8","2,858","169.1"
"2010","New York","2,767","16.9","1,871","11.4","72,253","441.6","2,223","13.6","3,904","23.9","115,817","707.9"
"2010","North Carolina","793","10.0","414","5.2","10,514","132.7","572","7.2","1,436","18.1","24,038","303.4"
"2010","North Dakota","5","0.9","5","0.9","99","17.5","6","1.1","14","2.5","202","35.7"
"2010","Ohio","599","6.2","218","2.3","8,305","86.4","288","3.0","981","10.2","16,845","175.3"
"2010","Oklahoma^","134","4.4","82","2.7","2,460","79.9","105","3.4","286","9.3","4,762","154.6"
"2010","Oregon","176","5.5","80","2.5","3,469","107.8","97","3.0","238","7.4","5,622","174.7"
"2010","Pennsylvania","935","8.7","557","5.2","17,497","162.6","692","6.4","1,472","13.7","29,992","278.7"
"2010","Rhode Island","59","6.6","33","3.7","1,270","141.3","37","4.1","115","12.8","2,094","233.1"
"2010","South Carolina^","575","14.9","287","7.4","7,787","201.9","335","8.7","762","19.8","13,790","357.5"
"2010","South Dakota","14","2.1","6","0.9","153","22.9","12","1.8","32","4.8","365","54.6"
"2010","Tennessee","637","12.1","291","5.5","7,258","137.4","368","7.0","850","16.1","14,432","273.2"
"2010","Texas","2,812","13.9","1,152","5.7","36,291","179.3","1,355","6.7","4,445","22.0","65,059","321.5"
"2010","Utah","58","2.7","22","1.0","1,193","56.3","25","1.2","83","3.9","2,108","99.5"
"2010","Vermont","8","1.5","13","2.4","257","47.8","14","2.6","20","3.7","450","83.8"
"2010","Virginia","626","9.4","239","3.6","9,133","136.5","315","4.7","993","14.8","18,278","273.1"
"2010","Washington","306","5.5","127","2.3","6,136","109.4","153","2.7","540","9.6","10,413","185.7"
"2010","West Virginia","44","2.8","21","1.3","890","56.4","27","1.7","72","4.6","1,534","97.2"
"2010","Wisconsin","140","3.0","74","1.6","2,422","51.1","93","2.0","251","5.3","4,802","101.3"
"2010","Wyoming","12","2.6","7","1.5","133","28.6","8","1.7","19","4.1","256","55.0"
"2011","Alabama^","484","12.1","180","4.5","4,845","121.2","253","6.3","676","16.9","11,070","276.9"
"2011","Alaska","22","3.8","9","1.5","378","64.7","12","2.1","23","3.9","659","112.7"
"2011","Arizona","355","6.7","154","2.9","6,493","122.4","189","3.6","564","10.6","12,439","234.5"
"2011","Arkansas","123","5.1","88","3.6","2,106","86.8","107","4.4","237","9.8","4,311","177.6"
"2011","California","2,734","8.8","1,326","4.3","65,548","211.0","1,595","5.1","5,027","16.2","108,586","349.5"
"2011","Colorado","235","5.6","106","2.5","4,512","106.9","126","3.0","360","8.5","9,892","234.4"
"2011","Connecticut","263","8.7","178","5.9","6,522","215.3","212","7.0","349","11.5","9,964","328.9"
"2011","Delaware","77","10.1","57","7.5","1,893","248.8","71","9.3","114","15.0","3,032","398.6"
"2011","District of Columbia","350","64.6","228","42.1","7,901","1457.7","279","51.5","632","116.6","14,059","2593.9"
"2011","Florida","3,007","18.5","1,726","10.6","51,319","316.4","2,014","12.4","4,575","28.2","90,029","555.1"
"2011","Georgia","1,645","20.6","661","8.3","22,448","280.5","812","10.1","2,628","32.8","41,456","517.9"
"2011","Hawaii","51","4.4","32","2.8","1,445","125.0","41","3.5","78","6.7","2,333","201.8"
"2011","Idaho","22","1.7","13","1.0","455","35.8","15","1.2","35","2.8","887","69.8"
"2011","Illinois","936","8.8","458","4.3","16,636","155.9","566","5.3","1,612","15.1","30,865","289.3"
"2011","Indiana","315","5.9","170","3.2","4,863","90.5","198","3.7","468","8.7","8,955","166.7"
"2011","Iowa","71","2.8","28","1.1","1,212","47.7","36","1.4","113","4.4","2,051","80.6"
"2011","Kansas","92","3.9","40","1.7","1,505","64.3","46","2.0","136","5.8","2,671","114.1"
"2011","Kentucky","167","4.6","92","2.5","2,958","81.4","109","3.0","306","8.4","5,507","151.6"
"2011","Louisiana","778","20.7","401","10.6","8,888","235.9","468","12.4","1,188","31.5","16,423","436.0"
"2011","Maine","23","2.0","14","1.2","692","60.7","23","2.0","50","4.4","1,265","110.9"
"2011","Maryland","814","16.7","484","9.9","16,013","328.3","580","11.9","1,412","28.9","28,596","586.2"
"2011","Massachusetts","416","7.4","220","3.9","10,546","187.5","258","4.6","674","12.0","17,725","315.2"
"2011","Michigan","468","5.7","245","3.0","7,357","88.9","306","3.7","773","9.3","13,556","163.9"
"2011","Minnesota","189","4.3","70","1.6","3,199","72.3","89","2.0","294","6.6","6,686","151.2"
"2011","Mississippi","335","13.7","153","6.3","3,889","159.4","207","8.5","523","21.4","8,174","335.0"
"2011","Missouri","317","6.3","153","3.1","5,705","114.2","180","3.6","523","10.5","10,405","208.2"
"2011","Montana","10","1.2","7","0.8","295","35.2","8","1.0","21","2.5","476","56.9"
"2011","Nebraska","48","3.2","20","1.3","962","64.0","24","1.6","78","5.2","1,781","118.5"
"2011","Nevada","215","9.6","110","4.9","3,569","159.5","131","5.9","381","17.0","6,868","307.0"
"2011","New Hampshire","24","2.1","13","1.2","609","54.1","14","1.2","40","3.6","1,100","97.6"
"2011","New Jersey","813","11.0","597","8.1","17,868","242.1","749","10.1","1,166","15.8","32,765","443.9"
"2011","New Mexico","93","5.5","44","2.6","1,790","104.9","51","3.0","137","8.0","2,953","173.1"
"2011","New York","2,542","15.4","1,824","11.1","72,661","441.5","2,163","13.1","3,773","22.9","117,295","712.7"
"2011","North Carolina","801","10.0","375","4.7","10,964","137.0","542","6.8","1,430","17.9","24,889","310.9"
"2011","North Dakota","3","0.5","4","0.7","103","17.9","4","0.7","13","2.3","215","37.5"
"2011","Ohio","594","6.2","245","2.5","8,612","89.4","315","3.3","1,043","10.8","17,478","181.4"
"2011","Oklahoma^","170","5.5","94","3.0","2,511","80.9","121","3.9","309","10.0","4,918","158.4"
"2011","Oregon","166","5.1","84","2.6","3,555","109.3","99","3.0","239","7.3","5,826","179.1"
"2011","Pennsylvania","869","8.0","516","4.8","17,787","164.7","646","6.0","1,370","12.7","30,770","284.9"
"2011","Rhode Island","66","7.3","38","4.2","1,282","142.5","45","5.0","98","10.9","2,122","235.8"
"2011","South Carolina^","578","14.8","282","7.2","9,663","248.1","325","8.3","738","18.9","16,517","424.1"
"2011","South Dakota","20","3.0","5","0.7","172","25.5","7","1.0","19","2.8","388","57.6"
"2011","Tennessee","516","9.7","241","4.5","7,509","140.9","321","6.0","839","15.7","14,910","279.8"
"2011","Texas","2,608","12.7","1,091","5.3","37,908","184.1","1,282","6.2","4,267","20.7","68,259","331.4"
"2011","Utah","66","3.1","14","0.6","1,236","57.4","22","1.0","107","5.0","2,211","102.6"
"2011","Vermont","7","1.3","6","1.1","274","50.8","6","1.1","13","2.4","487","90.3"
"2011","Virginia","542","8.0","233","3.4","9,360","138.4","310","4.6","892","13.2","18,694","276.4"
"2011","Washington","302","5.3","137","2.4","6,239","109.8","167","2.9","477","8.4","10,633","187.0"
"2011","West Virginia","56","3.5","30","1.9","937","59.2","37","2.3","85","5.4","1,630","103.0"
"2011","Wisconsin","178","3.7","77","1.6","2,528","53.1","96","2.0","240","5.0","4,959","104.2"
"2011","Wyoming","19","4.1","5","1.1","137","29.3","6","1.3","15","3.2","246","52.6"
"2012","Alabama^","417","10.4","201","5.0","5,047","125.6","279","6.9","663","16.5","11,374","283.0"
"2012","Alaska","18","3.0","8","1.3","372","62.8","11","1.9","28","4.7","648","109.3"
"2012","Arizona","303","5.6","168","3.1","6,737","125.1","212","3.9","620","11.5","13,004","241.4"
"2012","Arkansas","129","5.3","72","3.0","2,166","88.8","89","3.6","247","10.1","4,482","183.8"
"2012","California","2,753","8.8","1,311","4.2","66,745","212.7","1,560","5.0","5,032","16.0","111,734","356.1"
"2012","Colorado","209","4.9","86","2.0","4,625","107.8","112","2.6","370","8.6","10,171","237.1"
"2012","Connecticut","243","8.0","169","5.6","6,506","213.7","191","6.3","288","9.5","9,980","327.9"
"2012","Delaware","93","12.1","70","9.1","1,905","247.9","77","10.0","137","17.8","3,082","401.1"
"2012","District of Columbia","351","63.5","190","34.4","8,161","1476.2","227","41.1","570","103.1","14,678","2655.0"
"2012","Florida","2,933","17.8","1,671","10.2","53,844","327.3","1,970","12.0","4,383","26.6","94,241","572.8"
"2012","Georgia","1,629","20.1","667","8.2","23,631","291.5","824","10.2","2,596","32.0","43,610","538.0"
"2012","Hawaii","51","4.4","45","3.8","1,424","121.8","51","4.4","82","7.0","2,315","198.1"
"2012","Idaho","17","1.3","17","1.3","481","37.5","24","1.9","36","2.8","937","73.0"
"2012","Illinois","930","8.7","430","4.0","16,942","158.3","550","5.1","1,645","15.4","31,666","295.9"
"2012","Indiana","287","5.3","146","2.7","5,010","92.8","169","3.1","486","9.0","9,275","171.8"
"2012","Iowa","74","2.9","36","1.4","1,270","49.7","43","1.7","117","4.6","2,157","84.5"
"2012","Kansas","87","3.7","39","1.7","1,517","64.4","44","1.9","151","6.4","2,714","115.2"
"2012","Kentucky","176","4.8","88","2.4","3,037","83.1","117","3.2","360","9.9","5,728","156.8"
"2012","Louisiana","767","20.2","392","10.3","9,141","241.0","468","12.3","1,018","26.8","16,676","439.6"
"2012","Maine","30","2.6","17","1.5","698","61.1","19","1.7","49","4.3","1,282","112.2"
"2012","Maryland","876","17.8","502","10.2","16,306","331.1","630","12.8","1,311","26.6","29,165","592.2"
"2012","Massachusetts","438","7.7","222","3.9","10,957","193.0","266","4.7","706","12.4","18,466","325.3"
"2012","Michigan","438","5.3","274","3.3","7,517","90.5","338","4.1","784","9.4","14,036","169.0"
"2012","Minnesota","195","4.4","68","1.5","3,355","75.3","86","1.9","315","7.1","6,985","156.8"
"2012","Mississippi","286","11.7","145","5.9","3,978","162.4","198","8.1","440","18.0","8,322","339.8"
