Year,Geography,AIDS classifications,,AIDS deaths,,AIDS prevalence,,Acute Viral Hepatitis B,,Acute Viral Hepatitis C,,Chlamydia,,Congenital Syphilis,,Early Non-Primary Non-Secondary Syphilis,,Estimated HIV incidence,,Estimated HIV prevalence (undiagnosed and diagnosed),,Gonorrhea,,HIV deaths,,HIV diagnoses,,HIV prevalence,,HIV viral suppression,,Hepatitis  A,,Knowledge of Status,,Linkage to HIV care,,PrEP coverage and number of persons prescribed,,Primary and Secondary Syphilis,,Receipt of HIV medical care,
,,Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"2017","New Hampshire","1.0","NA","1.3","NA","50.9","NA","Data not available","NA","Data not available","NA","377.4","NA","Data not available","NA","3.2","NA","Data suppressed","NA","110.7 (99.3 - 129.9)","NA","43.9","NA","1.8","NA","2.7","NA","100.7","NA","NA","70.7","Data not available","NA","NA","89.7 (76.4 - 100.0, 6.7)","NA","81.8","NA","10.4","3.7","NA","NA","79.4"
"2017","New Jersey","6.7","NA","6.3","NA","238.5","NA","Data not available","NA","Data not available","NA","468.0","NA","Data not available","NA","11.5","NA","14.4 (10.0 - 18.8)","NA","517.5 (497.7 - 537.3)","NA","125.2","NA","8.6","NA","15.0","NA","462.1","NA","NA","Data not available","Data not available","NA","NA","87.8 (84.6 - 91.3, 1.9)","NA","Data not available","NA","11.6","6.6","NA","NA","Data not available"
"2017","New Mexico","3.3","NA","2.8","NA","106.6","NA","Data not available","NA","Data not available","NA","777.7","NA","Data not available","NA","6.9","NA","7.8 (2.4 - 13.3)","NA","224.8 (203.2 - 246.4)","NA","257.4","NA","3.6","NA","8.1","NA","195.3","NA","NA","68.8","Data not available","NA","NA","86.4 (78.8 - 95.6, 5.0)","NA","83.6","NA","9.1","11.1","NA","NA","79.6"
"2017","New York","8.7","NA","8.8","NA","436.9","NA","Data not available","NA","Data not available","NA","700.5","NA","Data not available","NA","23.5","NA","13.3 (10.8 - 15.8)","NA","804.5 (789.8 - 819.2)","NA","204.6","NA","10.8","NA","16.4","NA","755.5","NA","NA","63.3","Data not available","NA","NA","92.0 (90.3 - 93.7, 0.9)","NA","84.5","NA","30.3","14.1","NA","NA","73.5"
"2017","North Carolina","6.8","NA","4.6","NA","159.9","NA","Data not available","NA","Data not available","NA","728.0","NA","Data not available","NA","8.9","NA","13.6 (10.4 - 16.9)","NA","408.7 (395.2 - 422.3)","NA","264.9","NA","6.4","NA","15.0","NA","356.9","NA","NA","63.3","Data not available","NA","NA","86.4 (83.6 - 89.3, 1.7)","NA","75.2","NA","7.8","13.2","NA","NA","75.7"
"2017","North Dakota","2.2","NA","0.5","NA","30.9","NA","Data not available","NA","Data not available","NA","526.3","NA","Data not available","NA","1.9","NA","Data suppressed","NA","100.0 (68.2 - 131.9)","NA","155.2","NA","0.5","NA","6.1","NA","65.6","NA","NA","77.5","Data not available","NA","NA","64.3 (48.7 - 94.3, 18.1)","NA","89.2","NA","8.8","7.1","NA","NA","85.3"
"2017","Ohio","4.6","NA","2.8","NA","105.5","NA","Data not available","NA","Data not available","NA","625.0","NA","Data not available","NA","4.6","NA","9.9 (7.1 - 12.8)","NA","264.9 (254.4 - 275.5)","NA","243.9","NA","3.9","NA","10.0","NA","222.8","NA","NA","54.8","Data not available","NA","NA","83.4 (80.2 - 86.8, 2.0)","NA","83.3","NA","8.6","8.5","NA","NA","69.1"
"2017","Oklahoma^","4.4","NA","2.5","NA","89.8","NA","Data not available","NA","Data not available","NA","671.7","NA","Data not available","NA","14.8","NA","9.8 (4.9 - 14.6)","NA","222.1 (204.5 - 239.6)","NA","280.5","NA","3.3","NA","9.2","NA","185.1","NA","NA","59.6","Data not available","NA","NA","82.6 (76.6 - 89.7, 4.0)","NA","67.7","NA","4.8","11.5","NA","NA","76.2"
"2017","Oregon","2.7","NA","2.4","NA","110.1","NA","Data not available","NA","Data not available","NA","529.2","NA","Data not available","NA","5.8","NA","5.9 (2.2 - 9.6)","NA","221.5 (206.3 - 236.7)","NA","142.7","NA","3.3","NA","5.8","NA","195.1","NA","NA","78.9","Data not available","NA","NA","87.6 (81.9 - 94.0, 3.5)","NA","78.8","NA","9.8","10.0","NA","NA","89.7"
"2017","Pennsylvania","5.1","NA","4.3","NA","177.0","NA","Data not available","NA","Data not available","NA","517.5","NA","Data not available","NA","10.1","NA","8.9 (5.6 - 12.3)","NA","360.0 (347.4 - 372.6)","NA","139.8","NA","6.0","NA","10.1","NA","323.6","NA","NA","Data not available","Data not available","NA","NA","88.5 (85.5 - 91.7, 1.8)","NA","Data not available","NA","16.9","7.3","NA","NA","Data not available"
